system   I             system.c:245  al_install_system                [   0.00245] Allegro version: 5.1.12 (WIP)
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00382] Also searching C:\Users\diego\Documents\Clones\TP3-Parte2-Prog-de-Graficos-I\TP3\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00486] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00504] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.05325] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.12214] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.12416] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.12421] al_display=00AB4670
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.12425] al_display->vt=00A5EF68
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.13291] found 64 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.13303] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13312] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13318] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13326] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13333] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13341] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13347] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13355] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13361] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13369] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13375] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13384] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13390] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13398] Score is : 897
